Teams,Year ,WinPercent
Womens_Basketball,2023,0.692
Womens_Basketball,2022,0.531
Womens_Basketball,2021,0.545
Womens_Basketball,2020,0.391
Womens_Basketball,2019,0.516
Womens_Basketball,2018,0.531
Womens_Basketball,2017,0.400
Womens_Basketball,2016,0.207
Womens_Basketball,2015,0.367
Womens_Basketball,2014,0.167
Womens_Basketball,2013,0.500
Womens_FieldHockey,2023,0.389
Womens_FieldHockey,2022,0.211
Womens_FieldHockey,2021,0.222
Womens_FieldHockey,2020,0.364
Womens_FieldHockey,2019,0.158
Womens_FieldHockey,2018,0.278
Womens_FieldHockey,2017,0.111
Womens_FieldHockey,2016,0.316
Womens_FieldHockey,2015,0.421
Womens_FieldHockey,2014,0.158
Womens_FieldHockey,2013,0.300
Womens_lacrosse,2023,0.667
Womens_lacrosse,2022,0.722
Womens_lacrosse,2021,0.733
Womens_lacrosse,2020,0.333
Womens_lacrosse,2019,0.471
Womens_lacrosse,2018,0.471
Womens_lacrosse,2017,0.444
Womens_lacrosse,2016,0.471
Womens_lacrosse,2015,0.375
Womens_lacrosse,2014,0.632
Womens_lacrosse,2013,0.611
Womens_soccer,2023,0.294
Womens_soccer,2022,0.750
Womens_soccer,2021,0.333
Womens_soccer,2020,0.607
Womens_soccer,2019,0.500
Womens_soccer,2018,0.147
Womens_soccer,2017,0.184
Womens_soccer,2016,0.289
Womens_soccer,2015,0.368
Womens_soccer,2014,0.316
Womens_soccer,2013,0.381
Mens_Baseball,2023,0.556
Mens_Baseball,2022,0.768
Mens_Baseball,2021,0.529
Mens_Baseball,2020,0.812
Mens_Baseball,2019,0.569
Mens_Baseball,2018,0.611
Mens_Baseball,2017,0.574
Mens_Baseball,2016,0.519
Mens_Baseball,2015,0.560
Mens_Baseball,2014,0.604
Mens_Baseball,2013,0.367
Mens_basketball,2023,0.469
Mens_basketball,2022,0.500
Mens_basketball,2021,0.794
Mens_basketball,2020,0.591
Mens_basketball,2019,0.533
Mens_basketball,2018,0.706
Mens_basketball,2017,0.636
Mens_basketball,2016,0.531
Mens_basketball,2015,0.606
Mens_basketball,2014,0.750
Mens_basketball,2013,0.606
Mens_football,2023,0.636
Mens_football,2022,0.667
Mens_football,2021,0.727
Mens_football,2020,0.571
Mens_football,2019,0.667
Mens_football,2018,0.545
Mens_football,2017,0.182
Mens_football,2016,0.182
Mens_football,2015,0.182
Mens_football,2014,0.083
Mens_football,2013,0.083
Mens_Soccer,2023,0.656
Mens_Soccer,2022,0.441
Mens_Soccer,2021,0.556
Mens_Soccer,2020,0.444
Mens_Soccer,2019,0.294
Mens_Soccer,2018,0.556
Mens_Soccer,2017,0.529
Mens_Soccer,2016,0.265
Mens_Soccer,2015,0.361
Mens_Soccer,2014,0.722
Mens_Soccer,2013,0.447